¥Ó½Ð¤é´Á,¾÷ºØ®Æ¸¹,¾÷ºØ«~¦W,²£´ú®Æ¸¹- ¬y¤ô¸¹,"²£´ú®Æ¸¹-
 ª©¥»¸¹",¬y¤ô¸¹+ª©¥»¸¹,²£´ú«~¦W,­t³d¤H,µ{¦¡­×§ï,¥¿¦¡ EC,³Æµù(EC³æ¸¹),"EC
 ´£¥X¤é´Á","EC
 §¹¦¨¤é´Á",,,,,,,,,,,
2022/2/20,1102A1328300,FAP-431F(US),FA7000361,314,FA7000361314,Test FAP-431F(US) MAC 3.14,¯Õ·z,Done,Done,SENAO111-202304-0037,2023/4/11,2023/4/20,,,,,,,,,,,
2022/2/20,1102A1328301,FAP-431F(EU),FA7000365,314,FA7000365314,Test FAP-431F(EU) MAC 3.14,¯Õ·z,Done,Done,SENAO111-202304-0037,2023/4/11,2023/4/20,,,,,,,,,,,
2022/8/15,1102A1380300,MR44-HW,FA7000001,200,FA7000001200,Test MR44-HW POE Test 2.00,ÄÊ¼Ý,X,X,³nÅéºÞ¨îªí³æ­×¥¿«áÅçÃÒ¥Î,X,X,,,,,,,,,,,
2022/8/15,1102A1380300,MR44-HW,FA7000002,220,FA7000002220,Test MR44-HW PCBA Test 2.20,ÄÊ¼Ý,X,X,³nÅéºÞ¨îªí³æ­×¥¿«áÅçÃÒ¥Î,X,X,,,,,,,,,,,
2022/8/15,1102A1380300,MR44-HW,FA7000003,240,FA7000003240,Test MR44-HW Power Calibration 2.40,ÄÊ¼Ý,X,X,³nÅéºÞ¨îªí³æ­×¥¿«áÅçÃÒ¥Î,X,X,,,,,,,,,,,
2022/8/15,1102A1380300,MR44-HW,FA7000004,240,FA7000004240,Test MR44-HW Throughput Test 2.40,ÄÊ¼Ý,X,X,³nÅéºÞ¨îªí³æ­×¥¿«áÅçÃÒ¥Î,X,X,,,,,,,,,,,
2022/8/15,1102A1380300,MR44-HW,FA7000005,210,FA7000005210,Test MR44-HW MAC&IIP 2.10,ÄÊ¼Ý,X,X,³nÅéºÞ¨îªí³æ­×¥¿«áÅçÃÒ¥Î,X,X,,,,,,,,,,,
2022/9/28,1102A1508900,ACERA330=Model J,FA7000006,200,FA7000006200,Test Model J POE Test 2.00,¯Õ·z,Done,Done,SENAO111-202304-0083,2023/4/19,2023/4/24,,,,,,,,,,,
2022/9/28,1102A1508900,ACERA330=Model J,FA7000007,200,FA7000007200,Test Model J PCBA Test 2.00,¯Õ·z,Done,Done,SENAO111-202304-0083,2023/4/19,2023/4/24,,,,,,,,,,,
2022/9/28,1102A1508900,ACERA330=Model J,FA7000008,200,FA7000008200,Test Model J Power Calibratio 2.4G 2.00,¯Õ·z,Done,Done,SENAO111-202304-0083,2023/4/19,2023/4/24,,,,,,,,,,,
2022/9/28,1102A1508900,ACERA330=Model J,FA7000009,200,FA7000009200,Test Model J Power Calibratio 5G 2.00,¯Õ·z,Done,Done,SENAO111-202304-0083,2023/4/19,2023/4/24,,,,,,,,,,,
2022/9/28,1102A1508900,ACERA330=Model J,FA7000010,200,FA7000010200,Test Model J Fianl Test 2.00,¯Õ·z,Done,Done,SENAO111-202304-0036,2023/4/11,2023/4/12,,,,,,,,,,,
2022/9/28,1102A1508900,ACERA330=Model J,FA7000011,200,FA7000011200,Test Model J Throughput Test 2.4G+5G 2.00,¯Õ·z,Done,Done,SENAO111-202304-0036,2023/4/11,2023/4/12,,,,,,,,,,,
2022/9/28,1102A1508900,ACERA330=Model J,FA7000012,200,FA7000012200,Test Model J Throughput Test 5G 2.00,¯Õ·z,Done,Done,SENAO111-202304-0036,2023/4/11,2023/4/12,,,,,,,,,,,
2022/9/28,1102A1508900,ACERA330=Model J,FA7000013,200,FA7000013200,Test Model J MAC 2.00,¯Õ·z,Done,Done,SENAO111-202304-0036,2023/4/11,2023/4/12,,,,,,,,,,,
2022/10/3,5216A2095000,MR44-HW,FA7000001,201,FA7000001201,Test MR44-HW POE Test 2.01,ÄÊ¼Ý,Done,Done,SENAO111-202211-0081,2022/11/14,2022/11/23,,,,,,,,,,,
